    0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
    0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
    0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
    0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,  
    0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
    0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
    0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
    0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,  
    0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
    0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 0.0000000e+00,
    0.0000000e+00, 0.0000000e+00, 0.0000000e+00, 1.7256809e+00, 3.4513619e+00,
    5.1770428e+00, 6.9027237e+00, 8.3346304e+00, 9.7665370e+00, 1.1198444e+01, 
    1.2630350e+01, 1.3531128e+01, 1.4431907e+01, 1.5332685e+01, 1.6233463e+01,
    1.6941634e+01, 1.7649805e+01, 1.8357977e+01, 1.9066148e+01, 1.9664397e+01,
    2.0262646e+01, 2.0860895e+01, 2.1459144e+01, 2.1987354e+01, 2.2515564e+01,
    2.3043774e+01, 2.3571984e+01, 2.4048638e+01, 2.4525292e+01, 2.5001946e+01,  
    2.5478599e+01, 2.5916342e+01, 2.6354086e+01, 2.6791829e+01, 2.7229572e+01,
    2.7636187e+01, 2.8042802e+01, 2.8449416e+01, 2.8856031e+01, 2.9235409e+01,
    2.9614786e+01, 2.9994163e+01, 3.0373541e+01, 3.0732490e+01, 3.1091440e+01,
    3.1450389e+01, 3.1809339e+01, 3.2149805e+01, 3.2490272e+01, 3.2830739e+01, 
    3.3171206e+01, 3.3495136e+01, 3.3819066e+01, 3.4142996e+01, 3.4466926e+01,
    3.4777237e+01, 3.5087549e+01, 3.5397860e+01, 3.5708171e+01, 3.6005837e+01,
